#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
elfin;Elfin;Arcade;;1999;dgPIX Entertainment Inc.;Puzzle / Toss * Mature *;;;;;0;;;;;
elfin;Elfin;Final Burn Alpha;;1999;dgPIX Entertainment Inc.;Puzzle / Toss * Mature *;;;;;0;;;;;
elfin;Elfin;MAME (Advance);;1999;dgPIX Entertainment Inc.;Puzzle / Toss * Mature *;;;;;0;;;;;
elfin;Elfin;MAME (Libretro);;1999;dgPIX Entertainment Inc.;Puzzle / Toss * Mature *;;;;;0;;;;;
elfin;Elfin;MAME (Mame4all);;1999;dgPIX Entertainment Inc.;Puzzle / Toss * Mature *;;;;;0;;;;;
emeralda;Emeraldia (World);Arcade;;1993;Namco;Puzzle / Drop;;;;;0;;;;;
emeralda;Emeraldia (World);MAME (Advance);;1993;Namco;Puzzle / Drop;;;;;0;;;;;
emeralda;Emeraldia (World);MAME (Libretro);;1993;Namco;Puzzle / Drop;;;;;0;;;;;
emeralda;Emeraldia (World);MAME (Mame4all);;1993;Namco;Puzzle / Drop;;;;;0;;;;;
emeraldaja;Emeraldia (Japan);Arcade;emeralda;1993;Namco;Puzzle / Drop;;;;;0;;;;;
emeraldaja;Emeraldia (Japan);MAME (Advance);emeralda;1993;Namco;Puzzle / Drop;;;;;0;;;;;
emeraldaja;Emeraldia (Japan);MAME (Libretro);emeralda;1993;Namco;Puzzle / Drop;;;;;0;;;;;
emeraldaja;Emeraldia (Japan);MAME (Mame4all);emeralda;1993;Namco;Puzzle / Drop;;;;;0;;;;;
emeraldaj;Emeraldia (Japan Version B);Arcade;emeralda;1993;Namco;Puzzle / Drop;;;;;0;;;;;
emeraldaj;Emeraldia (Japan Version B);MAME (Advance);emeralda;1993;Namco;Puzzle / Drop;;;;;0;;;;;
emeraldaj;Emeraldia (Japan Version B);MAME (Libretro);emeralda;1993;Namco;Puzzle / Drop;;;;;0;;;;;
emeraldaj;Emeraldia (Japan Version B);MAME (Mame4all);emeralda;1993;Namco;Puzzle / Drop;;;;;0;;;;;
E-Motion (Europe);E-Motion (Europe);Amstrad CPC;;1990;U.S. Gold;Puzzle;;;;;0;;;;;
E-Motion (Europe);E-Motion (Europe);Atari ST;;1990;US Gold;Puzzle;;;;;0;;;;;
E-Motion (Europe);E-Motion (Europe);Sinclair ZX Spectrum;;1990;Erbe Software;Puzzle;;;;;0;;;;;
Enchanted Cavern (Europe);Enchanted Cavern;Sony PSP Minis;;2012;Alawar Entertainment;Puzzle;;;;;0;;;;;
Engacho! for WonderSwan (Japan);Engacho! for WonderSwan (Japan);Bandai WonderSwan;;1999;NAC Geographic Products, Inc.;Puzzle;;;;;0;;;;;
Enigma (Mania-Soft) (Europe);Enigma (Mania-Soft) (Europe);Commodore 64;;1987;Mania-Soft;Puzzle;;;;;0;;;;;
Enigmo (USA);Enigmo;Sony PSP Minis;;2011;Beatshapers;Puzzle;;;;;0;;;;;
Entity (Europe);Entity (Europe);Commodore 64;;1994;CP Verlag/Magic Disk 64;Puzzle;;;;;0;;;;;
Eoroid (Poland) (Unl);Eoroid (Poland) (Unl);Commodore 64;;1993;LK Avalon (Laboratorium Komputerowe Avalon) ;Puzzle;;;;;0;;;;;
Erotica (Europe) (Unl);Erotica (Europe) (Unl);Commodore 64;;1995;Cybertech Laboratories;Puzzle;;;;;0;;;;;
ertictaca;Erotictac/Tactic (ver 01);Arcade;ertictac;1990;Sisteme;Puzzle / Drop * Mature *;;;;;0;;;;;
ertictaca;Erotictac/Tactic (ver 01);Final Burn Alpha;ertictac;1990;Sisteme;Puzzle / Drop * Mature *;;;;;0;;;;;
ertictaca;Erotictac/Tactic (ver 01);MAME (Advance);ertictac;1990;Sisteme;Puzzle / Drop * Mature *;;;;;0;;;;;
ertictaca;Erotictac/Tactic (ver 01);MAME (Libretro);ertictac;1990;Sisteme;Puzzle / Drop * Mature *;;;;;0;;;;;
ertictaca;Erotictac/Tactic (ver 01);MAME (Mame4all);ertictac;1990;Sisteme;Puzzle / Drop * Mature *;;;;;0;;;;;
ertictacb;Erotictac/Tactic (set 2);Arcade;ertictac;1990;Sisteme;Puzzle / Drop * Mature *;;;;;0;;;;;
ertictacb;Erotictac/Tactic (set 2);Final Burn Alpha;ertictac;1990;Sisteme;Puzzle / Drop * Mature *;;;;;0;;;;;
ertictacb;Erotictac/Tactic (set 2);MAME (Advance);ertictac;1990;Sisteme;Puzzle / Drop * Mature *;;;;;0;;;;;
ertictacb;Erotictac/Tactic (set 2);MAME (Libretro);ertictac;1990;Sisteme;Puzzle / Drop * Mature *;;;;;0;;;;;
ertictacb;Erotictac/Tactic (set 2);MAME (Mame4all);ertictac;1990;Sisteme;Puzzle / Drop * Mature *;;;;;0;;;;;
ertictac;Erotictac/Tactic;Arcade;;1990;Sisteme;Puzzle / Drop * Mature *;;;;;0;;;;;
ertictac;Erotictac/Tactic;Final Burn Alpha;;1990;Sisteme;Puzzle / Drop * Mature *;;;;;0;;;;;
ertictac;Erotictac/Tactic;MAME (Advance);;1990;Sisteme;Puzzle / Drop * Mature *;;;;;0;;;;;
ertictac;Erotictac/Tactic;MAME (Libretro);;1990;Sisteme;Puzzle / Drop * Mature *;;;;;0;;;;;
ertictac;Erotictac/Tactic;MAME (Mame4all);;1990;Sisteme;Puzzle / Drop * Mature *;;;;;0;;;;;
Escapade (Europe) (Unl);Escapade (Europe) (Unl);Atari ST;;1992;Budgie UK;Puzzle;;;;;0;;;;;
eto;Kokontouzai Eto Monogatari (Japan);Arcade;;1994;Visco;Puzzle / Drop;;;;;0;;;;;
eto;Kokontouzai Eto Monogatari (Japan);Arcade;;1994;Visco;Puzzle / Drop;;;;;0;;;;;
eto;Kokontouzai Eto Monogatari (Japan);Final Burn Alpha;;1994;Visco;Puzzle / Drop;;;;;0;;;;;
eto;Kokontouzai Eto Monogatari (Japan);MAME (Advance);;1994;Visco;Puzzle / Drop;;;;;0;;;;;
eto;Kokontouzai Eto Monogatari (Japan);MAME (Advance);;1994;Visco;Puzzle / Drop;;;;;0;;;;;
eto;Kokontouzai Eto Monogatari (Japan);MAME (Libretro);;1994;Visco;Puzzle / Drop;;;;;0;;;;;
eto;Kokontouzai Eto Monogatari (Japan);MAME (Libretro);;1994;Visco;Puzzle / Drop;;;;;0;;;;;
eto;Kokontouzai Eto Monogatari (Japan);MAME (Mame4all);;1994;Visco;Puzzle / Drop;;;;;0;;;;;
eto;Kokontouzai Eto Monogatari (Japan);MAME (Mame4all);;1994;Visco;Puzzle / Drop;;;;;0;;;;;
E.T. The Extra Terrestrial - Digital Companion (USA);E.T. The Extra Terrestrial - Digital Companion (USA);Nintendo Game Boy Color;;2001;NewKidCo;Puzzle;;;;;0;;;;;
Execution! (Europe);Execution! (Europe);Amstrad CPC;;1985;Datacom Publications;Puzzle;;;;;0;;;;;
EXIS - The Planet Far Away (Germany);EXIS - The Planet Far Away (Germany);Commodore 64;;1992;Markt & Technik/64'er;Puzzle;;;;;0;;;;;
Exodus - Journey to the Promised Land (USA) (Unl);Exodus - Journey to the Promised Land (USA) (Unl);Nintendo Entertainment System;;1990;Wisdom Tree;Puzzle;;;;;0;;;;;
Extase (Europe);Extase (Europe);Atari ST;;1990;Virgin Mastertronic;Puzzle;;;;;0;;;;;
Eye (Europe);Eye (Europe);Commodore 64;;1987;Cascade Games Ltd.;Puzzle;;;;;0;;;;;
Face Ache - The Man of a Million Faces (USA);Face Ache - The Man of a Million Faces (USA);Commodore 64;;1983;Commodore Business Machines, Inc.;Puzzle;;;;;0;;;;;
Facemaker (USA);Facemaker (USA);Commodore 64;;1983;Spinnaker Software;Puzzle;;;;;0;;;;;
Factory, The (USA);Factory, The (USA);Commodore 64;;1983;HesWare (Human Engineered Software);Puzzle;;;;;0;;;;;
fantasiaa;Fantasia (940307 PCB);Arcade;fantasia;1994;Comad & New Japan System;Puzzle / Outline * Mature *;;;;;0;;;;;
fantasiaa;Fantasia (940307 PCB);Final Burn Alpha;fantasia;1994;Comad & New Japan System;Puzzle / Outline * Mature *;;;;;0;;;;;
fantasiaa;Fantasia (940307 PCB);MAME (Advance);fantasia;1994;Comad & New Japan System;Puzzle / Outline * Mature *;;;;;0;;;;;
fantasiaa;Fantasia (940307 PCB);MAME (Libretro);fantasia;1994;Comad & New Japan System;Puzzle / Outline * Mature *;;;;;0;;;;;
fantasiaa;Fantasia (940307 PCB);MAME (Mame4all);fantasia;1994;Comad & New Japan System;Puzzle / Outline * Mature *;;;;;0;;;;;
fantasiab;Fantasia (940429 PCB, set 2);Arcade;fantasia;1994;Comad & New Japan System;Puzzle / Outline * Mature *;;;;;0;;;;;
fantasiab;Fantasia (940429 PCB, set 2);Final Burn Alpha;fantasia;1994;Comad & New Japan System;Puzzle / Outline * Mature *;;;;;0;;;;;
fantasiab;Fantasia (940429 PCB, set 2);MAME (Advance);fantasia;1994;Comad & New Japan System;Puzzle / Outline * Mature *;;;;;0;;;;;
fantasiab;Fantasia (940429 PCB, set 2);MAME (Libretro);fantasia;1994;Comad & New Japan System;Puzzle / Outline * Mature *;;;;;0;;;;;
fantasiab;Fantasia (940429 PCB, set 2);MAME (Mame4all);fantasia;1994;Comad & New Japan System;Puzzle / Outline * Mature *;;;;;0;;;;;
fantasia;Fantasia (940429 PCB, set 1);Arcade;;1994;Comad & New Japan System;Puzzle / Outline * Mature *;;;;;0;;;;;
fantasia;Fantasia (940429 PCB, set 1);Final Burn Alpha;;1994;Comad & New Japan System;Puzzle / Outline * Mature *;;;;;0;;;;;
fantasia;Fantasia (940429 PCB, set 1);MAME (Advance);;1994;Comad & New Japan System;Puzzle / Outline * Mature *;;;;;0;;;;;
fantasia;Fantasia (940429 PCB, set 1);MAME (Libretro);;1994;Comad & New Japan System;Puzzle / Outline * Mature *;;;;;0;;;;;
fantasia;Fantasia (940429 PCB, set 1);MAME (Mame4all);;1994;Comad & New Japan System;Puzzle / Outline * Mature *;;;;;0;;;;;
fantasian;Fantasia (940803 PCB);Arcade;fantasia;1994;Comad & New Japan System;Puzzle / Outline * Mature *;;;;;0;;;;;
fantasian;Fantasia (940803 PCB);Final Burn Alpha;fantasia;1994;Comad & New Japan System;Puzzle / Outline * Mature *;;;;;0;;;;;
fantasian;Fantasia (940803 PCB);MAME (Advance);fantasia;1994;Comad & New Japan System;Puzzle / Outline * Mature *;;;;;0;;;;;
fantasian;Fantasia (940803 PCB);MAME (Libretro);fantasia;1994;Comad & New Japan System;Puzzle / Outline * Mature *;;;;;0;;;;;
fantasian;Fantasia (940803 PCB);MAME (Mame4all);fantasia;1994;Comad & New Japan System;Puzzle / Outline * Mature *;;;;;0;;;;;
Fantasy - An Adult Game (Europe);Fantasy - An Adult Game (Europe);Sinclair ZX Spectrum;;1987;R'n'H Microtec;Puzzle;;;;;0;;;;;
fantsia2a;Fantasia II (Less Explicit);Arcade;fantsia2;1997;Comad;Puzzle / Outline * Mature *;;;;;0;;;;;
fantsia2a;Fantasia II (Less Explicit);Final Burn Alpha;fantsia2;1997;Comad;Puzzle / Outline * Mature *;;;;;0;;;;;
fantsia2a;Fantasia II (Less Explicit);MAME (Advance);fantsia2;1997;Comad;Puzzle / Outline * Mature *;;;;;0;;;;;
fantsia2a;Fantasia II (Less Explicit);MAME (Libretro);fantsia2;1997;Comad;Puzzle / Outline * Mature *;;;;;0;;;;;
fantsia2a;Fantasia II (Less Explicit);MAME (Mame4all);fantsia2;1997;Comad;Puzzle / Outline * Mature *;;;;;0;;;;;
fantsia2;Fantasia II (Explicit);Arcade;;1997;Comad;Puzzle / Outline * Mature *;;;;;0;;;;;
fantsia2;Fantasia II (Explicit);Final Burn Alpha;;1997;Comad;Puzzle / Outline * Mature *;;;;;0;;;;;
fantsia2;Fantasia II (Explicit);MAME (Advance);;1997;Comad;Puzzle / Outline * Mature *;;;;;0;;;;;
fantsia2;Fantasia II (Explicit);MAME (Libretro);;1997;Comad;Puzzle / Outline * Mature *;;;;;0;;;;;
fantsia2;Fantasia II (Explicit);MAME (Mame4all);;1997;Comad;Puzzle / Outline * Mature *;;;;;0;;;;;
fantsy95;Fantasy '95;Arcade;newfant;1995;Hi-max Technology Inc.;Puzzle / Outline * Mature *;;;;;0;;;;;
fantsy95;Fantasy '95;Final Burn Alpha;newfant;1995;Hi-max Technology Inc.;Puzzle / Outline * Mature *;;;;;0;;;;;
fantsy95;Fantasy '95;MAME (Advance);newfant;1995;Hi-max Technology Inc.;Puzzle / Outline * Mature *;;;;;0;;;;;
fantsy95;Fantasy '95;MAME (Libretro);newfant;1995;Hi-max Technology Inc.;Puzzle / Outline * Mature *;;;;;0;;;;;
fantsy95;Fantasy '95;MAME (Mame4all);newfant;1995;Hi-max Technology Inc.;Puzzle / Outline * Mature *;;;;;0;;;;;
Farm Frenzy 2 (USA);Farm Frenzy 2;Sony PSP Minis;;2012;Alawar Entertainment;Puzzle;;;;;0;;;;;
Farm Frenzy 3 (USA);Farm Frenzy 3;Sony PSP Minis;;2012;Alawar Entertainment;Puzzle;;;;;0;;;;;
Farm Frenzy - Pizza Party (Europe);Farm Frenzy Pizza Party;Sony PSP Minis;;2012;Alawar Entertainment;Puzzle;;;;;0;;;;;
Fatty Bear's Funpack (USA);Fatty Bear's Funpack (USA);Panasonic 3DO;;1994;Humongous Entertainment;Puzzle;;;;;0;;;;;
Fetris (Europe) (Unl);Fetris (Europe) (Unl);Commodore 64;;1992;Freeline Dreams;Puzzle;;;;;0;;;;;
Fidgetts, The (USA, Europe);Fidgetts, The (USA, Europe);Nintendo Game Boy;;1997;Jaleco Entertainment;Puzzle;;;;;0;;;;;
Fields (USA);Fields (USA);Commodore 64;;1996;Eagleware International;Puzzle;;;;;0;;;;;
Fifteen 3D (Czech Republic) (Unl);Fifteen 3D (Czech Republic) (Unl);Commodore 64;;2012;Falcon Soft;Puzzle;;;;;0;;;;;
Fifteen (USA);Fifteen (USA);Commodore 64;;1983;The Code Works;Puzzle;;;;;0;;;;;
filetto;Filetto (v1.05 901009);Arcade;;1990;Novarmatic;Puzzle / Match;;;;;0;;;;;
filetto;Filetto (v1.05 901009);Final Burn Alpha;;1990;Novarmatic;Puzzle / Match;;;;;0;;;;;
filetto;Filetto (v1.05 901009);MAME (Advance);;1990;Novarmatic;Puzzle / Match;;;;;0;;;;;
filetto;Filetto (v1.05 901009);MAME (Libretro);;1990;Novarmatic;Puzzle / Match;;;;;0;;;;;
filetto;Filetto (v1.05 901009);MAME (Mame4all);;1990;Novarmatic;Puzzle / Match;;;;;0;;;;;
finalttr;Final Tetris;Arcade;;1993;Jeil Computer System;Puzzle / Drop;;;;;0;;;;;
finalttr;Final Tetris;Final Burn Alpha;;1993;Jeil Computer System;Puzzle / Drop;;;;;0;;;;;
finalttr;Final Tetris;MAME (Advance);;1993;Jeil Computer System;Puzzle / Drop;;;;;0;;;;;
finalttr;Final Tetris;MAME (Libretro);;1993;Jeil Computer System;Puzzle / Drop;;;;;0;;;;;
finalttr;Final Tetris;MAME (Mame4all);;1993;Jeil Computer System;Puzzle / Drop;;;;;0;;;;;
Finders Keepers (Carousel Software, Inc) (USA);Finders Keepers (Carousel Software, Inc) (USA);Commodore 64;;1983;Carousel Software, Inc.;Puzzle;;;;;0;;;;;
findlove;Zenkoku Seifuku Bishoujo Grand Prix Find Love (J 971212 V1.000);Arcade;;1997;Daiki / FCF;Puzzle / Sliding * Mature *;;;;;0;;;;;
findlove;Zenkoku Seifuku Bishoujo Grand Prix Find Love (J 971212 V1.000);Final Burn Alpha;;1997;Daiki / FCF;Puzzle / Sliding * Mature *;;;;;0;;;;;
findlove;Zenkoku Seifuku Bishoujo Grand Prix Find Love (J 971212 V1.000);MAME (Advance);;1997;Daiki / FCF;Puzzle / Sliding * Mature *;;;;;0;;;;;
findlove;Zenkoku Seifuku Bishoujo Grand Prix Find Love (J 971212 V1.000);MAME (Libretro);;1997;Daiki / FCF;Puzzle / Sliding * Mature *;;;;;0;;;;;
findlove;Zenkoku Seifuku Bishoujo Grand Prix Find Love (J 971212 V1.000);MAME (Mame4all);;1997;Daiki / FCF;Puzzle / Sliding * Mature *;;;;;0;;;;;
Finger Flashing (Japan) (Translated En);Finger Flashing (Japan) (Translated En);Sony PlayStation;;1999;Affect;Puzzle;;;;;0;;;;;
Finger Flashing (Japan) (Translated En);Finger Flashing (Japan) (Translated En);Sony PSP;;1999;Affect;Puzzle;;;;;0;;;;;
Fips (Europe);Fips (Europe);Commodore 64;;1989;CP Verlag/Game On;Puzzle;;;;;0;;;;;
Fire 'n Ice (USA);Fire 'n Ice (USA);Nintendo Entertainment System;;1993;Tecmo;Puzzle;;;;;0;;;;;
Fish Tank (USA);Fish Tank;Sony PSP Minis;;2010;iFun4all;Puzzle;;;;;0;;;;;
Five a Row (Europe);Five a Row (Europe);Commodore 64;;1992;CP Verlag/Game On;Puzzle;;;;;0;;;;;
Fix It! (Europe);Fix It! (Europe);Commodore 64;;1985;Random House, Inc.;Puzzle;;;;;0;;;;;
Flag Capture (USA);Flag Capture (USA);Atari 2600;;1978;Atari;Puzzle;;;;;0;;;;;
Flappy (Japan);Flappy (Japan);Nintendo Famicom;;1985;DB Soft;Puzzle;;;;;0;;;;;
Flappy Special (Japan);Flappy Special (Japan);Nintendo Game Boy;;1990;Victor Interactive Software;Puzzle;;;;;0;;;;;
Flashback! (USA);Flashback! (USA);Commodore 64;;1987;Sharedata, Inc./Green Valley Publishing, Inc.;Puzzle;;;;;0;;;;;
Flash Koibito-kun (Japan);Flash Koibito-kun (Japan);Bandai WonderSwan Color;;2000;Koubunsha;Puzzle;;;;;0;;;;;
Flash Point (Japan) (Proto);Flash Point (Japan) (Proto);Sega Genesis;;1989;Sega;Puzzle;;;;;0;;;;;
flipmaze;Flip Maze (V2.04J);Arcade;;1999;MOSS / Taito;Puzzle / Match;;;;;0;;;;;
flipmaze;Flip Maze (V2.04J);MAME (Advance);;1999;MOSS / Taito;Puzzle / Match;;;;;0;;;;;
flipmaze;Flip Maze (V2.04J);MAME (Libretro);;1999;MOSS / Taito;Puzzle / Match;;;;;0;;;;;
flipmaze;Flip Maze (V2.04J);MAME (Mame4all);;1999;MOSS / Taito;Puzzle / Match;;;;;0;;;;;
Flippit (Europe);Flippit (Europe);Amstrad CPC;;1988;Splash;Puzzle;;;;;0;;;;;
Flippit (Europe);Flippit (Europe);Sinclair ZX Spectrum;;1983;Sinclair Research;Puzzle;;;;;0;;;;;
Flippit (USA);Flippit (USA);Commodore 64;;1988;Splash;Puzzle;;;;;0;;;;;
Fliptris (Poland) (Unl);Fliptris (Poland) (Unl);Commodore 64;;1997;ArtCore Labs;Puzzle;;;;;0;;;;;
Flipull - An Exciting Cube Game (Japan);Flipull - An Exciting Cube Game (Japan);Nintendo Famicom;;1989;Taito Corporation;Puzzle;;;;;0;;;;;
flipull;Flipull (Japan);Arcade;plotting;1989;Taito Corporation;Puzzle;;;;;0;;;;;
flipull;Flipull (Japan);Arcade;plotting;1989;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
flipull;Flipull (Japan);Final Burn Alpha;plotting;1989;Taito Corporation;Puzzle;;;;;0;;;;;
flipull;Flipull (Japan);MAME (Advance);plotting;1989;Taito Corporation;Puzzle;;;;;0;;;;;
flipull;Flipull (Japan);MAME (Advance);plotting;1989;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
flipull;Flipull (Japan);MAME (Libretro);plotting;1989;Taito Corporation;Puzzle;;;;;0;;;;;
flipull;Flipull (Japan);MAME (Libretro);plotting;1989;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
flipull;Flipull (Japan);MAME (Mame4all);plotting;1989;Taito Corporation;Puzzle;;;;;0;;;;;
flipull;Flipull (Japan);MAME (Mame4all);plotting;1989;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
Flipull (USA);Flipull (USA);Nintendo Game Boy;;1990;Taito Corporation;Puzzle;;;;;0;;;;;
Flix (Europe);Flix (Europe);Sinclair ZX Spectrum;;1984;Softricks;Puzzle;;;;;0;;;;;
Flix (Germany);Flix (Germany);Commodore 64;;1993;Markt & Technik/64'er;Puzzle;;;;;0;;;;;
Follow the Leader (USA);Follow the Leader (USA);Commodore 64;;1983;Carousel Software, Inc.;Puzzle;;;;;0;;;;;
Fool's Errand, The (USA) (Disk 1) (Game & Prologue);Fool's Errand, The (USA) (Disk 1) (Game & Prologue);Atari ST;;1991;Miles Computing;Puzzle;;;;;0;;;;;
Fool's Errand, The (USA) (Disk 2) (Puzzle & Final);Fool's Errand, The (USA) (Disk 2) (Puzzle & Final);Atari ST;;1991;Miles Computing;Puzzle;;;;;0;;;;;
Forest Puzzle (USA);Forest Puzzle;Sony PSP Minis;;2010;IBA Group;Puzzle;;;;;0;;;;;
Foton (Europe) (Unl);Foton (Europe) (Unl);Commodore 64;;1991;Trash Productions;Puzzle;;;;;0;;;;;
Four-F (Europe) (Unl);Four-F (Europe) (Unl);Atari ST;;2001;Fruitware;Puzzle;;;;;0;;;;;
Four in a Row! (USA);Four in a Row! (USA);Commodore 64;;1990;Remsoft Systems;Puzzle;;;;;0;;;;;
Fourty Five (Europe);Fourty Five (Europe);Commodore 64;;1991;CP Verlag/Golden Disk 64;Puzzle;;;;;0;;;;;
Four Wins (Europe);Four Wins (Europe);Commodore 64;;1988;CP Verlag/Magic Disk 64;Puzzle;;;;;0;;;;;
fpoint1;Flash Point (set 1, Japan, FD1094 317-0127A);Arcade;fpoint;1989;Sega;Puzzle;;;;;0;;;;;
fpoint1;Flash Point (set 1, Japan, FD1094 317-0127A);Arcade;fpoint;1989;Sega;Puzzle / Drop;;;;;0;;;;;
fpoint1;Flash Point (set 1, Japan, FD1094 317-0127A);Final Burn Alpha;fpoint;1989;Sega;Puzzle;;;;;0;;;;;
fpoint1;Flash Point (set 1, Japan, FD1094 317-0127A);MAME (Advance);fpoint;1989;Sega;Puzzle;;;;;0;;;;;
fpoint1;Flash Point (set 1, Japan, FD1094 317-0127A);MAME (Advance);fpoint;1989;Sega;Puzzle / Drop;;;;;0;;;;;
fpoint1;Flash Point (set 1, Japan, FD1094 317-0127A);MAME (Libretro);fpoint;1989;Sega;Puzzle;;;;;0;;;;;
fpoint1;Flash Point (set 1, Japan, FD1094 317-0127A);MAME (Libretro);fpoint;1989;Sega;Puzzle / Drop;;;;;0;;;;;
fpoint1;Flash Point (set 1, Japan, FD1094 317-0127A);MAME (Mame4all);fpoint;1989;Sega;Puzzle;;;;;0;;;;;
fpoint1;Flash Point (set 1, Japan, FD1094 317-0127A);MAME (Mame4all);fpoint;1989;Sega;Puzzle / Drop;;;;;0;;;;;
fpoint;Flash Point (set 2, Japan, FD1094 317-0127A);Arcade;;1989;Sega;Puzzle;;;;;0;;;;;
fpoint;Flash Point (set 2, Japan, FD1094 317-0127A);Arcade;;1989;Sega;Puzzle / Drop;;;;;0;;;;;
fpoint;Flash Point (set 2, Japan, FD1094 317-0127A);Final Burn Alpha;;1989;Sega;Puzzle;;;;;0;;;;;
fpoint;Flash Point (set 2, Japan, FD1094 317-0127A);MAME (Advance);;1989;Sega;Puzzle;;;;;0;;;;;
fpoint;Flash Point (set 2, Japan, FD1094 317-0127A);MAME (Advance);;1989;Sega;Puzzle / Drop;;;;;0;;;;;
fpoint;Flash Point (set 2, Japan, FD1094 317-0127A);MAME (Libretro);;1989;Sega;Puzzle;;;;;0;;;;;
fpoint;Flash Point (set 2, Japan, FD1094 317-0127A);MAME (Libretro);;1989;Sega;Puzzle / Drop;;;;;0;;;;;
fpoint;Flash Point (set 2, Japan, FD1094 317-0127A);MAME (Mame4all);;1989;Sega;Puzzle;;;;;0;;;;;
fpoint;Flash Point (set 2, Japan, FD1094 317-0127A);MAME (Mame4all);;1989;Sega;Puzzle / Drop;;;;;0;;;;;
Franky, Joe & Dirk... On the Tiles (Europe);Franky, Joe & Dirk... On the Tiles (Europe);Nintendo Game Boy;;1993;Elite Systems Ltd;Puzzle;;;;;0;;;;;
fredmemc;Fred Flintstones' Memory Match (Mandarin Chinese, 3/17/95);Arcade;fredmem;1994;Coastal Amusements;Puzzle / Match;;;;;0;;;;;
fredmemc;Fred Flintstones' Memory Match (Mandarin Chinese, 3/17/95);Final Burn Alpha;fredmem;1994;Coastal Amusements;Puzzle / Match;;;;;0;;;;;
fredmemc;Fred Flintstones' Memory Match (Mandarin Chinese, 3/17/95);MAME (Advance);fredmem;1994;Coastal Amusements;Puzzle / Match;;;;;0;;;;;
fredmemc;Fred Flintstones' Memory Match (Mandarin Chinese, 3/17/95);MAME (Libretro);fredmem;1994;Coastal Amusements;Puzzle / Match;;;;;0;;;;;
fredmemc;Fred Flintstones' Memory Match (Mandarin Chinese, 3/17/95);MAME (Mame4all);fredmem;1994;Coastal Amusements;Puzzle / Match;;;;;0;;;;;
fredmem;Fred Flintstones' Memory Match (World?, Ticket version, 3/17/95);Arcade;;1994;Coastal Amusements;Puzzle / Match;;;;;0;;;;;
fredmem;Fred Flintstones' Memory Match (World?, Ticket version, 3/17/95);Final Burn Alpha;;1994;Coastal Amusements;Puzzle / Match;;;;;0;;;;;
fredmem;Fred Flintstones' Memory Match (World?, Ticket version, 3/17/95);MAME (Advance);;1994;Coastal Amusements;Puzzle / Match;;;;;0;;;;;
fredmem;Fred Flintstones' Memory Match (World?, Ticket version, 3/17/95);MAME (Libretro);;1994;Coastal Amusements;Puzzle / Match;;;;;0;;;;;
fredmem;Fred Flintstones' Memory Match (World?, Ticket version, 3/17/95);MAME (Mame4all);;1994;Coastal Amusements;Puzzle / Match;;;;;0;;;;;
fredmemj;Fred Flintstones' Memory Match (Japan, High Score version, 3/20/95);Arcade;fredmem;1994;Coastal Amusements;Puzzle / Match;;;;;0;;;;;
fredmemj;Fred Flintstones' Memory Match (Japan, High Score version, 3/20/95);Final Burn Alpha;fredmem;1994;Coastal Amusements;Puzzle / Match;;;;;0;;;;;
fredmemj;Fred Flintstones' Memory Match (Japan, High Score version, 3/20/95);MAME (Advance);fredmem;1994;Coastal Amusements;Puzzle / Match;;;;;0;;;;;
fredmemj;Fred Flintstones' Memory Match (Japan, High Score version, 3/20/95);MAME (Libretro);fredmem;1994;Coastal Amusements;Puzzle / Match;;;;;0;;;;;
fredmemj;Fred Flintstones' Memory Match (Japan, High Score version, 3/20/95);MAME (Mame4all);fredmem;1994;Coastal Amusements;Puzzle / Match;;;;;0;;;;;
fredmemuk;Fred Flintstones' Memory Match (UK, 3/17/95);Arcade;fredmem;1994;Coastal Amusements;Puzzle / Match;;;;;0;;;;;
fredmemuk;Fred Flintstones' Memory Match (UK, 3/17/95);Final Burn Alpha;fredmem;1994;Coastal Amusements;Puzzle / Match;;;;;0;;;;;
fredmemuk;Fred Flintstones' Memory Match (UK, 3/17/95);MAME (Advance);fredmem;1994;Coastal Amusements;Puzzle / Match;;;;;0;;;;;
fredmemuk;Fred Flintstones' Memory Match (UK, 3/17/95);MAME (Libretro);fredmem;1994;Coastal Amusements;Puzzle / Match;;;;;0;;;;;
fredmemuk;Fred Flintstones' Memory Match (UK, 3/17/95);MAME (Mame4all);fredmem;1994;Coastal Amusements;Puzzle / Match;;;;;0;;;;;
fredmemus;Fred Flintstones' Memory Match (US, High Score version, 3/10/95);Arcade;fredmem;1994;Coastal Amusements;Puzzle / Match;;;;;0;;;;;
fredmemus;Fred Flintstones' Memory Match (US, High Score version, 3/10/95);Final Burn Alpha;fredmem;1994;Coastal Amusements;Puzzle / Match;;;;;0;;;;;
fredmemus;Fred Flintstones' Memory Match (US, High Score version, 3/10/95);MAME (Advance);fredmem;1994;Coastal Amusements;Puzzle / Match;;;;;0;;;;;
